,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
51,ACN,Accenture PLC,2020-09-24T12:30:00.000Z,BMO,1.73,,,EDT,-14400000.0,EQUITY
52,ATU,Actuant Corp,2020-09-24T16:30:00.000Z,BMO,,,,,,EQUITY
53,AEHR,Aehr Test Systems,2020-09-24T20:00:00.000Z,AMC,-0.03,,,EDT,-14400000.0,EQUITY
54,AYTU,Aytu BioScience Inc,2020-09-24T20:00:00.000Z,AMC,-0.03,,,EDT,-14400000.0,EQUITY
55,RAD,Rite Aid Corp,2020-09-24T08:30:00.000Z,TAS,0.0,,,EDT,-14400000.0,EQUITY
56,CUK,Carnival Corp,2020-09-24T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
57,KMX,Carmax Inc,2020-09-24T12:30:00.000Z,BMO,1.02,,,EDT,-14400000.0,EQUITY
58,DYNT,Dynatronics Corp,2020-09-24T08:30:00.000Z,TAS,-0.15,,,EDT,-14400000.0,EQUITY
59,CAMP,CalAmp Corp,2020-09-24T20:00:00.000Z,AMC,0.0,,,EDT,-14400000.0,EQUITY
60,COST,Costco Wholesale Corp,2020-09-24T16:15:00.000Z,TAS,2.8,,,EDT,-14400000.0,EQUITY
61,ELLO,Ellomay Capital Ltd,2020-09-24T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
62,DRI,Darden Restaurants Inc,2020-09-24T12:30:00.000Z,BMO,0.04,,,EDT,-14400000.0,EQUITY
63,FDS,Factset Research Systems Inc,2020-09-24T12:30:00.000Z,BMO,2.54,,,EDT,-14400000.0,EQUITY
64,JEF,Jefferies Financial Group Inc,2020-09-24T10:59:00.000Z,TNS,0.33,,,EDT,-14400000.0,EQUITY
65,TCOM,Trip.com Group Ltd,2020-09-24T20:00:00.000Z,AMC,-0.45,,,EDT,-14400000.0,EQUITY
66,JBL,Jabil Inc,2020-09-24T12:30:00.000Z,BMO,0.66,,,EDT,-14400000.0,EQUITY
67,MTN,Vail Resorts Inc,2020-09-24T20:00:00.000Z,AMC,-3.43,,,EDT,-14400000.0,EQUITY
68,NTWK,NetSol Technologies Inc,2020-09-24T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
69,RSSS,Research Solutions Inc,2020-09-24T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
70,JCPNQ,J C Penney Company Inc,2020-09-25T07:30:00.000Z,TAS,,,,EDT,-14400000.0,EQUITY
71,SSY,SunLink Health Systems Inc,2020-09-25T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
72,CVU,CPI Aerostructures Inc,2020-09-28T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
73,LUVU,Luvu Brands Inc,2020-09-28T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
74,CALM,Cal-Maine Foods Inc,2020-09-28T12:30:00.000Z,BMO,-0.47,,,EDT,-14400000.0,EQUITY
75,PCYG,Park City Group Inc,2020-09-28T20:00:00.000Z,AMC,0.0,,,EDT,-14400000.0,EQUITY
76,PCYG,Park City Group Inc,2020-09-28T16:15:00.000Z,TAS,0.0,,,EDT,-14400000.0,EQUITY
77,UNFI,United Natural Foods Inc,2020-09-28T20:00:00.000Z,AMC,0.72,,,EDT,-14400000.0,EQUITY
78,RAVE,Rave Restaurant Group Inc,2020-09-28T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
79,PLYZ,Plyzer Technologies Inc,2020-09-28T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
80,THO,Thor Industries Inc,2020-09-28T12:30:00.000Z,BMO,1.34,,,EDT,-14400000.0,EQUITY
81,PRCP,Perceptron Inc,2020-09-28T12:30:00.000Z,BMO,-0.15,,,EDT,-14400000.0,EQUITY
82,PRCP,Perceptron Inc,2020-09-28T08:30:00.000Z,TAS,-0.15,,,EDT,-14400000.0,EQUITY
83,MKC,McCormick & Company Inc,2020-09-29T12:30:00.000Z,BMO,1.52,,,EDT,-14400000.0,EQUITY
84,PRGS,Progress Software Corp,2020-09-29T20:00:00.000Z,AMC,0.77,,,EDT,-14400000.0,EQUITY
85,SNX,SYNNEX Corp,2020-09-29T20:00:00.000Z,AMC,2.26,,,EDT,-14400000.0,EQUITY
86,VSYM,View Systems Inc,2020-09-29T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
87,INFO,IHS Markit Ltd,2020-09-29T12:30:00.000Z,BMO,0.69,,,EDT,-14400000.0,EQUITY
88,MU,Micron Technology Inc,2020-09-29T20:00:00.000Z,AMC,1.0,,,EDT,-14400000.0,EQUITY
89,EPAC,Enerpac Tool Group Corp,2020-09-30T12:30:00.000Z,BMO,0.08,,,EDT,-14400000.0,EQUITY
90,RECN,Resources Connection Inc,2020-09-30T14:59:00.000Z,TNS,,,,,,EQUITY
91,RGP,Resources Connection Inc,2020-09-30T10:59:00.000Z,TNS,0.07,,,EDT,-14400000.0,EQUITY
92,RTIX,RTI Surgical Holdings Inc,2020-09-30T23:30:00.000Z,BMO,-0.26,,,,,EQUITY
93,PAYX,Paychex Inc,2020-09-30T12:30:00.000Z,BMO,0.55,,,EDT,-14400000.0,EQUITY
94,ASNA,Ascena Retail Group Inc,2020-10-01T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
95,ASNAQ,Ascena Retail Group Inc,2020-10-01T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
96,ANGO,AngioDynamics Inc,2020-10-01T12:30:00.000Z,BMO,-0.07,,,EDT,-14400000.0,EQUITY
97,CAG,Conagra Brands Inc,2020-10-01T12:30:00.000Z,BMO,0.57,,,EDT,-14400000.0,EQUITY
98,BBBY,Bed Bath & Beyond Inc,2020-10-01T12:30:00.000Z,BMO,-0.28,,,EDT,-14400000.0,EQUITY
99,STZ,Constellation Brands Inc,2020-10-01T20:00:00.000Z,AMC,2.49,,,EDT,-14400000.0,EQUITY
100,PEP,PepsiCo Inc,2020-10-01T12:30:00.000Z,BMO,1.48,,,EDT,-14400000.0,EQUITY
101,PEP,PepsiCo Inc,2020-10-01T06:30:00.000Z,TAS,1.48,,,EDT,-14400000.0,EQUITY
102,DCOM,Dime Community Bancshares Inc,2020-10-05T10:59:00.000Z,TNS,0.32,,,EDT,-14400000.0,EQUITY
103,MAT,Mattel Inc,2020-10-05T20:00:00.000Z,AMC,0.38,,,EDT,-14400000.0,EQUITY
104,CNBKA,Century Bancorp Inc,2020-10-06T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
105,LNDC,Landec Corp,2020-10-06T20:00:00.000Z,AMC,-0.11,,,EDT,-14400000.0,EQUITY
106,DPZ,Domino's Pizza Inc,2020-10-06T07:30:00.000Z,TAS,2.71,,,EDT,-14400000.0,EQUITY
107,HELE,Helen of Troy Ltd,2020-10-06T12:30:00.000Z,BMO,2.29,,,EDT,-14400000.0,EQUITY
108,ARTW,Art's Way Manufacturing Co Inc,2020-10-07T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
109,ADTN,ADTRAN Inc,2020-10-07T20:00:00.000Z,AMC,0.08,,,EDT,-14400000.0,EQUITY
110,JQC,Nuveen Credit Strategies Income Fund,2020-10-07T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
111,JPS,Nuveen Preferred & Income Securities Fund,2020-10-07T10:59:00.000Z,TNS,,,,EDT,-14400000.0,EQUITY
112,LW,Lamb Weston Holdings Inc,2020-10-07T08:30:00.000Z,TAS,0.3,,,EDT,-14400000.0,EQUITY
113,RPM,RPM International Inc,2020-10-07T12:30:00.000Z,BMO,1.19,,,EDT,-14400000.0,EQUITY
114,PKE,Park Aerospace Corp,2020-10-08T12:30:00.000Z,BMO,,,,EDT,-14400000.0,EQUITY
115,AYI,Acuity Brands Inc,2020-10-08T12:30:00.000Z,BMO,2.04,,,EDT,-14400000.0,EQUITY
116,DAL,Delta Air Lines Inc,2020-10-08T12:30:00.000Z,BMO,-3.01,,,EDT,-14400000.0,EQUITY
117,IDT,IDT Corp,2020-10-08T16:30:00.000Z,TAS,,,,EDT,-14400000.0,EQUITY
